TaxonID
Acacia
Ajuga
Ajuga
Allium
Allium
Althaea
Anemone
Anemone
Lathyrus
Argemone
Argemone
Armeria
Gallium
Astragalus
Astragalus
Atropa
Atropa
Atropa
Bartsia
Bartsia
Bartsia
Bartsia
Bartsia
Bartsia
Bartsia
Bartsia
Veronica
Borrago
Calcitrapa
Calluna
Campanula
Campanula
Campanula
Campanula
Campanula
Cardamine
Cardamine
Centaurea
Centaurea
Centaurea
Centaurea
Centaurea
Centaurea
Blackstonia
Blackstonia
Chrysanthemum
Chrysanthemum
Chrysanthemum
Cichorium
Cistus
Cistus
Cistus
Cistus
Cistus
Clematis
Clematis
Clematis
Clematis
Colchicum
Conium
Conium
Convolvulus
Convolvulus
Convolvulus
Convolvulus
Convolvulus
Convolvulus
Crocodylium
Cyanus
Cynoglossum
Endivia
Endivia
Erigeron
Euphrosyne
Potentilla
Pyrethrum
Genista
Genista
Genista
Hedera
Hieracium
Hieracium
Hypericum
Hypericum
Crepis
Lamium
Lathyrus
Lathyrus
Lathyrus
Lathyrus
Lathyrus
Latliyrus
Latliyrus
Linaria
Linaria
Linaria
Linaria
Lymnaea
Lymnaea
Lymnaea
Lymnaea
Linum
Linum
Linum
Linum
Lychnis
Lychnis
Lychnis
Lychnis
Lychnis
Lychnis
Lysimachia
Lysimachia
Lysimachus
Lysimachus
Malus
Meconopsis
Myosotis
Nissolia
Numidia
Odontites
Oncidium
Ononis
Ophrys
Ophrys
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Ortlca
Oxalis
Oxalis
Papaver
Papaver
Parietaria
Pedicularis
Persicaria
Persicaria
Plantago
Polygala
Polygonum
Potentilla
Potentilla
Potentilla
Primavera
Pulsatilla
Pulsatilla
Ranunculus
Riibus
Rosa
Rosa
Saponaria
Scrofularia
Scrofularia
Serpentaria
Serpyllum
Silene
Solanum
Solanum
Solanum
Statice
Trifolium
Trigynia
Urtica
Urtica
Zamium
