TaxonID
Abies
Abies
Ailanthus
Aspicllum
Atragene
Bangia
Begonia
Berberis
Betula
Blasia
Blasia
Blasia
Blechnum
Caulerpa
Ceratophyllum
Chenopodium
Clematis
Cocculus
Corallorrhiza
Corchorus
Cucurbita
Dahlia
Dioscorea
Dracaena
Equisetum
Equisetum
Euonymus
Euphorbia
Fagus
Ficus
Fontinalis
Fossombronia
Fritillaria
Fritillaria
Fucus
Gleditschia
Gleocapsa
Haplomitrium
Hedera
Helianthus
Heterocentron
Hippuris
Hippuris
Hypoderma
Isoetes
Lamella
Linum
Liquidambar
Marchantia
Marchantia
Momordica
Monopodium
Mucor
Nerium
Nitella
Osmunda
Pandanus
Papaver
Pelargonium
Phlomis
Phytolacca
Phytolacca
Pinus
Platanus
Polytrichum
Populus
Potamogeton
Punctum
Quercus
Ricinus
Rubus
Salix
Sambucus
Sclerotium
Selaginella
Sempervivum
Sponia
Stypocaulon
Stypocaulon
Sympodium
Taxodium
Tecoma
Tecoma
Tradescantia
Tradescantia
Taxodium
Urtica
Viola
Vitis
Wisteria
Yucca
