Kalmia
Linustrum
Rambucus
Sisyrinchium
Abies
Acacia
Acacia
Acacia
Acera
Achillea
Acinus
Aconitum
Aconitum
Acorus
Adansonia
Adansonia
Adansonia
Adelphia
Adelphia
Adelphia
Adianthum
Adonis
Agaricus
Agaricus
Agaricus
Agaricus
Agaricus
Agrimonia
Agrostemma
Agrostis
Alisma
Allium
Allium
Alnus
Althaea
Amaranthus
Amaranthus
Amaranthus
Amaranthus
Amaranthus
Amaranthus
Amaranthus
Amaranthus
Ammomum
Ampelopsis
Ampelopsis
Amphicarpa
Amygdalus
Amygdalus
Amygdalus
Anagallis
Anagallis
Anceps
Anchusa
Anethum
Annelida
Anthemis
Anthemis
Anthoxanthum
Apios
Apis
Apium
Apium
Apocynum
Apocynum
Apocynum
Apocynum
Apocynum
Aquilegia
Aquilegia
Aquilegia
Arabis
Aracia
Aralia
Arctium
Arctium
Arenaria
Arethusa
Arethusa
Arethusa
Aristolochia
Aristolochia
Aristolochia
Aristolochia
Aristolochia
Armeniaca
Armeria
Aronia
Aronia
Artemisia
Artemisia
Artemisia
Artemisia
Artemisia
Artemisia
Asarum
Asarum
Asclepias
Asclepias
Asclepias
Asclepias
Asclepias
Asclepias
Asiaticus
Asparagus
Asparagus
Asparagus
Asparagus
Asparagus
Asphodelus
Aspidium
Asplenium
Asplenium
Aster
Astragalus
Atropa
Atropa
Atropa
Atropa
Augustus
Auranlia
Aurantia
Auricula
Bacca
Bacca
Bacca
Bacca
Baptisia
Baptisia
Baptisia
Barbatus
Bartsia
Bartsia
Bartsia
Bellis
Bellis
Bellis
Bellis
Bellis
Bellis
Berberis
Berberis
Bignonia
Bignonia
Blechnum
Blitum
Blitum
Boletus
Boletus
Borago
Borago
Borago
Brassica
Buchnera
Butomus
Caesalpinus
Calendula
Calendula
Calix
Calla
Calla
Callitriche
Caltha
Caltha
Calycis
Camellia
Camellia
Camerarius
Campanula
Campanula
Campanula
Campanula
Campanula
Campanula
Campanula
Cannabis
Capsicum
Capsicum
Cardamine
Cardamine
Cardamine
Carduus
Carduus
Carex
Carex
Carex
Carex
Carex
Carex
Carthamus
Carthamus
Carum
Carya
Caryophyllus
Catis
Ceanothus
Caesalpinus
Celastrus
Celastrus
Centaurea
Centaurea
Cerastium
Cercis
Cercis
Cereus
Cereus
Cerion
Cerion
Cetraria
Chaerophyllum
Chamaerops
Chamaerops
Cheiranthus
Cheiranthus
Cheiranthus
Chelidonium
Chelone
Chelone
Chenopodium
Chenopodium
Chenopodium
Chenopodium
Chimaphila
Chimaphila
Chionanthus
Chrysanthemum
Chrysanthemum
Chrysanthemum
Chrysanthemum
Chrysanthemum
Chrysanthemum
Chrysanthemum
Chrysanthemum
Chrysanthemum
Chrysosplenium
Cichorium
Cicuta
Cicuta
Cicuta
Cicuta
Cissus
Cissus
Cissus
Citrus
Citrus
Citrus
Citrus
Claytonia
Claytonia
Claytonia
Clematis
Clematis
Clematis
Clematis
Clematis
Clematis
Clematis
Clematis
Clematis
Clematis
Cleome
Clethra
Clusius
Clusius
Clusius
Clusius
Clusius
Clusius
Clusius
Cnicus
Cochlearia
Coffea
Coix
Collinsonia
Columella
Colutea
Commelina
Comptonia
Conium
Conium
Convallaria
Convallaria
Convallaria
Convallaria
Convallaria
Convallaria
Convallaria
Convallaria
Convallaria
Convolvulus
Convolvulus
Convolvulus
Convolvulus
Coptis
Corculum
Corculum
Coreopsis
Coriandrium
Cornus
Cornus
Cornus
Cornus
Cornus
Corydalis
Corydalis
Corydalis
Corydalis
Corylus
Corylus
Crinitus
Cucumis
Cucumis
Cucumis
Cucumis
Cucurbita
Cuphea
Cupressus
Cuscuta
Cymbidium
Cynara
Cynoglossum
Cynoglossum
Cynoglossum
Cynoglossum
Cypripedium
Cypripedium
Cypripedium
Cypripedium
Cypripedium
Cypripedium
Cypsela
Cypsela
Cytirus
Dactylis
Dactylis
Dactylis
Dactylis
Dalibarda
Datura
Datura
Daucus
Decus
Dentaria
Diacia
Dianthus
Dianthus
Dianthus
Dianthus
Dianthus
Dianthus
Dianthus
Dianthus
Dianthus
Dianthus
Dianthus
Diclytra
Diervilla
Digitalis
Digitalis
Dioecia
Dioecia
Dionea
Dipsacus
Dolichos
Drosera
Drosera
Echium
Elephantopus
Elephantopus
Elephantopus
Ennea
Epedendrum
Epigea
Epilobium
Epilobium
Equisetum
Equisetum
Equisetum
Erigeron
Erigeron
Erodium
Erodium
Erodium
Erodium
Erysimum
Erythronium
Erythronium
Euchroma
Euchroma
Eucomis
Eupatorium
Eupatorium
Eupatorium
Eupatorium
Eupatorium
Euphrasia
Euphrasia
Fagus
Fragaria
Fraxinus
Fritillaria
Fritillaria
Fucus
Fucus
Fucus
Fucus
Fucus
Fucus
Fucus
Fucus
Fucus
Fucus
Fucus
Fucus
Fucus
Fumaria
Fumaria
Galanthus
Galium
Galium
Galium
Galium
Gamia
Gardenia
Gaultheria
Gaultheria
Gaultheria
Gentiana
Gentiana
Gerania
Gerania
Gerardia
Gerardia
Gerardia
Gerardia
Gerardia
Geum
Glechoma
Gnaphalium
Gomphrena
Gomphrena
Gompliia
Goodyera
Goodyera
Gossypium
Gossypium
Gramma
Gratiola
Guttiferae
Gyrophora
Habenaria
Hamamelis
Hearini
Hedeoma
Hedera
Hedysarum
Hedysarum
Helenium
Helianthus
Helianthus
Helianthus
Heliopsis
Heliopsis
Heliotropium
Helleborus
Helleborus
Hemerocallis
Hemerocallis
Hepatica
Hepatica
Hepatica
Hepatica
Hepatica
Hesperides
Hibiscus
Hieracium
Hippuris
Hippuris
Hippuris
Hippuris
Hippuris
Hippuris
Hippuris
Hordeum
Houstonia
Houstonia
Houstonia
Houstonia
Houstonia
Houstonia
Houstonta
Humulus
Humulus
Hyacinthus
Hydrangea
Hydrangea
Hydrangea
Hydrangea
Hydrangea
Hydrangea
Hydrangea
Hydrastis
Hypericum
Hypericum
Hypericum
Hypericum
Hypnum
Hypoxis
Hypoxis
Ficus
Ficus
Ipomea
Ipomea
Iridea
Isanthus
Isanthus
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Jasminum
Juglans
Juliana
Juncus
Jungermannia
Jungermannia
Jungermannia
Juniperus
Labiata
Labiata
Lamium
Lathyrus
Lathyrus
Lathyrus
Laurus
Laurus
Laurus
Laurus
Laurus
Laurus
Laurus
Lavandula
Ledum
Leersia
Leiophyllum
Lemna
Leontodon
Leonurus
Lepidium
Lepidium
Leptandra
Lignum
Ligustrum
Lilac
Lilac
Lilac
Lilac
Lilac
Lilac
Lilium
Lilium
Lilium
Lilium
Lilium
Lindernia
Linnea
Linnseus
Linnseus
Linum
Linum
Linum
Linum
Liriodendron
Liriodendron
Lithospermum
Lithospermum
Linnae
Lobelia
Lobelia
Lobelia
Lolium
Lolium
Lonicera
Lonicera
Lonicera
Lonicera
Ludwigia
Ludwigia
Lunaria
Lupinus
Lychnis
Lychnis
Lychnis
Lychnis
Lychnis
Lycium
Lycoperdon
Lycoperdon
Lycopus
Lycopus
Lyonia
Lysimachia
Lysimachia
Macrotis
Macrotis
Macrotis
Macrotis
Macula
Magnolia
Magnolia
Magnolia
Magnolia
Magnolia
Magnolia
Magnolia
Magnolia
Magnolius
Mahonia
Mandragora
Marchantia
Marrubium
Mausolus
Melampyrum
Melancholicus
Melilotus
Menispermum
Mentha
Mentha
Menziesia
Mesembryanthemum
Mikania
Mimulus
Mirabilis
Mirabilis
Mirabilis
Mitchella
Mitella
Mollugo
Mollusca
Momordica
Monarda
Monarda
Monotropa
Monotropa
Monotropa
Monotropa
Morus
Morus
Mucor
Multus
Mungo
Myosotis
Myosotis
Myosotis
Myrica
Myrrhis
Myrtus
Myrtus
Nardus
Neottia
Nepenthes
Nepeta
Nicotiana
Nicotiana
Nostoc
Nuphar
Nuphar
Nux
Nymphaea
Octandria
Octogynia
Olinthus
Olympus
Onoclea
Onoclea
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Orchis
Origanum
Origanum
Origanum
Origanum
Ornithogalum
Ornithogalum
Orobanche
Oryza
Oryza
Osmunda
Oxalis
Oxalis
Oxalis
Oxalis
Oxycoccus
Oxycoccus
Oxycoccus
Panax
Papaver
Papaver
Papaver
Papaver
Papaver
Parmelia
Parnassia
Parnassia
Passiflora
Passiflora
Passiflora
Passiflora
Pastinaca
Pastinaca
Pedicularis
Pedicularis
Pelargonium
Pelargonium
Pelargonium
Pelargonium
Pelargonium
Pelargonium
Pelargonium
Penstemon
Penstemon
Penthorum
Penstemon
Pepo
Phalaris
Phaseolus
Philadelphus
Phleum
Phleum
Phlox
Phlox
Phlox
Phytolacca
Pileus
Pilus
Pilus
Pinus
Pinus
Pinus
Pinus
Pisum
Plantago
Plantago
Platanus
Podophyllum
Podophyllum
Podophyllum
Podophyllum
Pogonia
Pogonia
Polus
Polyandria
Polyandria
Polygala
Polygala
Polygala
Polygala
Polygala
Polygonum
Polygonum
Polygonum
Polypodium
Polypodium
Polytrichum
Polytrichum
Polytriclium
Pontederia
Pontederia
Pontederia
Portulacca
Potentilla
Potentilla
Poterium
Poterium
Prenanthes
Primus
Proteus
Prunella
Prunus
Prunus
Pteris
Pulmonaria
Punica
Punica
Punica
Punica
Pycnanthemum
Pyrola
Pyrola
Pyrus
Pyrus
Pyrus
Pyrus
Quercus
Quercus
Quercus
Ramus
Ranunculus
Ranunculus
Ranunculus
Ranunculus
Ranunculus
Ranunculus
Ranunculus
Ranunculus
Ranunculus
Rectus
Repens
Reseda
Rhododendron
Rhododendron
Rhododendron
Rhododendron
Rhus
Rhus
Rhus
Rhus
Ricinus
Rivinus
Robinia
Rosa
Rosa
Rosa
Rosa
Rosmarinus
Rosmarinus
Rubia
Rubus
Rubus
Rubus
Rubus
Rudbeckia
Rumex
Rumex
Rumex
Rumex
Rumex
Rutaceae
Saccharum
Saccharum
Sagittaria
Sagittaria
Sagittaria
Salicornia
Salicornia
Salicornia
Salicornia
Salix
Salix
Salix
Salix
Salix
Salnus
Salvia
Salvia
Salvia
Salvia
Sambucus
Sambucus
Sanguinaria
Sanguisorba
Sanicula
Santalum
Saponaria
Saponaria
Sarracenia
Sarracenia
Sarracenia
Sarracenia
Sarracenia
Sarracenia
Sarracenia
Sarracenia
Satureja
Satureja
Saururus
Saururus
Saxifraga
Saxifraga
Saxifraga
Scabiosa
Scabious
Scandix
Scilla
Scilla
Scilla
Scilla
Scrophularia
Scutellaria
Scutellaria
Sedum
Sempervivum
Septas
Sinapis
Sinapis
Siphonia
Siphonia
Sisyrinchium
Smilax
Solanum
