Found
Acer
Allium
Allium
Araucaria
Araucaria
Araucaria
Aristolochia
Betula
Begonia
Bignonia
Bougainvillia
Bougainvillia
Bunium
Calceolaria
Campanula
Camphora
Carex
Carex
Carex
Chrysanthemum
Ciscuta
Cissus
Clematis
Collomia
Convolvulus
Cuscuta
Datura
Datura
Dentaria
Drosera
Acrias
Eucalyptus
Eucalyptus
Eucalyptus
Eucalyptus
Eucalyptus
Eucalyptus
Eucalyptus
Euonymus
Euphorbia
Gloxinia
Heracleum
Hippuris
Hoya
Hoya
Hydrangea
Hypericum
Euonymus
Linnea
Libera
Libera
Martynia
Melampyrum
Nepenthes
Nepenthes
Oina
Orchid
Orchis
Oxalis
Petunia
Pinus
Pinguicula
Pinus
Polytrichum
Psamma
Psamma
Rafflesia
Salvia
Salvia
Salvia
Salvia
Sarracenia
Sarracenia
Saxifraga
Saxifraga
Stapelia
Stipa
Stipa
Tillandsia
Tillmidsia
Tricyrtis
Vallisneria
